iteration,metabolite_smiles,metabolite_pred,metabolite_proba,metabolite_optimal_threshold_from_train,metabolite_pred_optimal,dataset,featurespace
424,['COc1ccc(OC)c(C(O)C[NH3+])c1[O-]'],[1.],[0.90385072],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
425,['[NH3+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1'],[1.],[0.87904833],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
426,['C=C(c1ccc(C(=O)[O-])cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)CO'],[1.],[0.92605799],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
427,['CC[NH2+]CCNC(=O)c1c(C)[nH]c(Cc2c([O-])[n-]c3ccc(F)cc23)c1C'],[1.],[0.91279912],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
428,['CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1[O-]'],[1.],[0.70177143],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
429,['CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)OC1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)OCC3'],[1.],[0.94565056],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
430,['COc1cc2c(cc1OC)C[C@H](C[NH+](C)CCC[NH+]1CCc3cc(OC)c(OC)cc3CC1=O)[CH]2'],[1.],[0.77356593],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
431,['Cc1[nH]c2c(c1C)C(=O)C(C[NH+]1CCOCC1)CC2O'],[1.],[0.61910072],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
432,['CCC([NH3+])C(=O)[O-]'],[1.],[0.90855158],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
433,['C[NH2+]C(C)CN1c2ccccc2S(=O)c2ccccc21'],[1.],[0.71913883],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
434,['CC(C)C(=O)Oc1ccc(C(=O)[O-])cc1[C@H](CC[NH+](C(C)C)C(C)C)c1ccccc1'],[1.],[0.76032184],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
435,['CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)(C(=O)CO)CC(O)C12F'],[1.],[0.79170116],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
436,['C[NH+]1CC[NH+](Cc2ccc(C(=O)Nc3ccc(CO)c(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1'],[1.],[0.84643393],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
437,['COc1cc2[n-]c(N3CC[NH2+]CC3)nc(=N)c2cc1OC'],[0.],[0.42381893],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
438,['Cc1ccc(S(=O)(=O)[N-]C(N)=O)cc1'],[0.],[0.24904951],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
439,['CC(C)[NH2+]CC(O)COc1cc([O-])cc2ccccc12'],[0.],[0.22319122],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
440,['O=C([O-])C1OC(Oc2c3c(c([O-])n2CC2CCCCC2C[NH+]2CCN(c4nsc5ccccc45)CC2)C(O)C(O)C3O)C(O)C(O)C1O'],[1.],[0.87641652],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
441,['CC/C(=C\\O)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl'],[1.],[0.89911096],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
442,['C[N+](C)(O)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21'],[1.],[0.87824937],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
443,['CCC(CO)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1'],[1.],[0.90831049],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
444,['O=c1nc(N(CCO)CCO)[n-]c2c(N3CCCCC3)nc(N(CCO)CCO)nc12'],[1.],[0.61090442],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
445,['C[NH+]1c2cc([O-])c(Cl)cc2[NH+](c2cc(Cl)c(N)cc2S(N)(=O)=O)C1CO'],[1.],[0.71300302],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
446,['CC1=NC(C)=C(C(=O)[O-])C(c2ccccc2[N+](=O)[O-])C1'],[0.],[0.26928035],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
447,['CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO'],[1.],[0.84443631],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
448,['CCOC(=O)C1(c2ccccc2)CC[NH+](C)C(O)C1'],[1.],[0.69662382],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
449,['CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C(C)=O)C3)c(F)c21'],[1.],[0.90952252],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
450,['C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn4c3c2OCC4(C)OCC2OC(O)C(O)C(O)C2O)CC1'],[1.],[0.91962238],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
451,['O=Nc1cc(C(F)(F)F)ccc1C(=O)C1C(=O)CCC(O)C1=O'],[1.],[0.69772629],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
452,['Cc1ccsc1C(=CCC[NH+]1CCCC(C(=O)[O-])C1)c1scc([O-])c1C'],[1.],[0.90806826],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
453,['Cc1cn(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)[NH2+]C3CCC(C)CC3)cc2)c([O-])c1C(C)O'],[0.],[0.08398178],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
454,['CC(C)C(Cc1ccc([O-])c([O-])c1)CC(O)C([NH3+])CC(C(N)=O)C(C)C'],[1.],[0.75611397],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
455,['COCC1CSC2C(=NC(=O)C([NH2+]OC)c3csc(=N)[n-]3)C(=O)[NH+]2C1C(=O)[O-]'],[1.],[0.88708706],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
456,['CC(C(=O)OC1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)c1ccc2cc([O-])ccc2c1'],[1.],[0.86660649],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
457,['COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)[NH+]2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(O)C(C)C=CC=CC=C1C'],[1.],[0.95659696],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
458,['O=c1[n-]c2cc(Cl)ccc2n1C1CC[NH2+]CC1O'],[1.],[0.69698775],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
459,['Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[N+](C)(O)CC3)cc2)cc1N=c1nc(-c2cccnc2)cc[n-]1'],[1.],[0.8055752],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
460,['O=C(Nc1ccc(Oc2ccnc(C(=O)NCO)c2)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1'],[1.],[0.87948703],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
461,['C[NH+](C)C1C(=O)CC(=O)C2(O)C(=O)C3C(=O)c4c([O-])ccc(N)c4CC3CC1C2O'],[1.],[0.88765219],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
462,['Cn1cnc2c1c(=O)n(CCCCC(=O)CO)c(=O)n2C'],[0.],[0.0930582],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
463,['O=C([O-])Cc1ccccc1[O-]'],[1.],[0.92027869],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
464,['CC(=O)NC(C)C12CC3CC(C3)CC(C1)C2'],[1.],[0.80847613],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
465,['Cc1ncsc1C(=O)[O-]'],[1.],[0.96314923],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
466,['CCC(O)CC(=O)[NH+](Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1)[C@H](C(=O)[O-])C(C)C'],[1.],[0.93300508],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
467,['COc1ccccc1[O-]'],[1.],[0.85566673],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
468,['C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1'],[1.],[0.7686452],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
469,['COc1ccccc1Oc1c(OCC(=O)[O-])[n-]c(-c2ncccn2)nc1=NS(=O)(=O)c1ccc(C(C)(C)O)cc1'],[0.],[0.17940646],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
470,['Nc1c([O-])cc(Cl)c(NC2=[NH+]CCN2)c1N'],[1.],[0.85847744],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
471,['CC([NH3+])C(=O)c1ccccc1[O-]'],[1.],[0.66993949],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
472,['COc1ccc(CN=c2[n-]c([NH+]3CCC[C@H]3COC3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)ncc2C(=O)NCc2ncccn2)cc1Cl'],[0.],[0.24450051],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
473,['CCC(=O)C1=C(C)N=C(C)C(C(=O)[O-])C1c1cccc2nonc12'],[1.],[0.60352432],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
474,['O=c1ccc2cc3ccoc3c([O-])c2o1'],[1.],[0.85153952],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
475,['NC(=[NH2+])N=c1[n-]c(CS(=O)CCC(=[NH2+])NS(N)(=O)=O)cs1'],[1.],[0.86129403],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
476,['CC(C)(C)c1ccc(S(=O)(=O)N=c2[n-]c(-c3ncccn3)nc([O-])c2Oc2ccccc2[O-])cc1'],[0.],[0.12641313],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
477,['CC(C)C[NH+](C[C@@H](O)[C@@H]([NH3+])Cc1ccccc1)S(=O)(=O)c1ccc(N)cc1'],[1.],[0.78880625],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
478,['CC12COC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)C'],[1.],[0.82529169],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
479,['CN1Sc2cc(S(N)(=O)=O)c(Cl)cc2[NH+]=C1C(O)SCC(F)(F)F'],[1.],[0.87699425],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
480,['CC(=O)c1nc(C(C)(C)O)c(C(=O)[O-])n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.93556285],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
481,['O=C([O-])C(Cc1ccccc1)[NH2+]C1CCC[NH+]2CCCC(C(=O)[O-])[NH+]2C1=O'],[1.],[0.89851188],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
482,['CC(O)Cn1cnc2c(N)ncnc21'],[1.],[0.81915762],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
483,['[NH3+]CCNc1cc2c(cc1F)c(=O)c(C(=O)[O-])cn2C1CC1'],[1.],[0.95882405],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
484,['COc1cc2c([O-])oc([O-])c2c([O-])c1C/C=C(\\C)CCC(=O)[O-]'],[1.],[0.85571191],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
485,['COC(=O)NC(C(O)=NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)[N-]C(=O)C([NH3+])C(C)(C)C)C(C)(C)C'],[1.],[0.86235234],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
486,['O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]C(O)C3)c(F)cc2c1=O'],[1.],[0.97383768],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
487,['C[NH2+]C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1[O-]'],[1.],[0.92455639],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
488,['Cc1[nH]c(Cc2c([O-])[n-]c3ccc(F)cc23)c(C)c1C(=O)NCC=O'],[1.],[0.9075162],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
489,['O=[P@@]1([NH+](CCCl)CCCl)NC(O)CCO1'],[1.],[0.89698839],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
490,['[NH3+]C(CCC(=O)Nc1ccc([O-])c(C(=O)[O-])c1)C(=O)[O-]'],[1.],[0.69887135],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
491,['CNS(=O)(=O)Cc1ccc2[nH]cc(CC(=O)[O-])c2c1'],[0.],[0.09955833],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
492,['CCOc1cc2c(=N)[n-]c(=N)[n-]c2cc1OC'],[1.],[0.80654079],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
493,['CC(C[NH+](C)C)[C@@](O)(Cc1ccccc1)c1ccccc1'],[1.],[0.77665941],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
494,['[NH3+]CC(=O)NCC(O)c1cccc([O-])c1'],[1.],[0.90405167],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
495,['CCc1c(C)[nH]c2c1C(=O)C(C[NH2+]CCO)CC2'],[1.],[0.81282308],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
496,['CC(C)[NH2+]c1cccnc1N1CC[NH+](C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)C(O)C1'],[0.],[0.18734474],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
497,['CCCCC(=O)[NH+](Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1)[C@H](C(=O)[O-])C(C)CO'],[1.],[0.93095482],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
498,['C[NH+](C)C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21'],[1.],[0.93900799],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
499,['Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)[NH+](C)CO)cc1'],[1.],[0.87518611],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
500,['CC(=O)NC1CCC2[NH2+]c3ccc(C(N)=O)cc3C2C1'],[1.],[0.61473056],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
